DIA,MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DETALHAMENTO,VALOR_REEMBOLSADO
16,3,1,Passagens,22,22,UZGNKP,"Companhia Aérea: LATAM, Localizador: UZGNKP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3006 - PVHBSB - 22/03/2021;",1354.0
16,3,1,Passagens,22,22,HCSDNX,"Companhia Aérea: LATAM, Localizador: HCSDNX. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3007 - BSBPVH - 18/03/2021;",1905.0
18,3,1,"Locomoção, hospedagem e alimentação",13,13,000006415,Despesa com aquisição de combustível para abastecimento de aeronave,1550.35
22,3,1,Aluguel,1795,529,025153941,Despesa com pagamento de energia elétrica para o escritório de apoio em Ji-Paraná Sala 02,73.37
22,3,1,Aluguel,1795,529,025154137,"Despesa com pagamento de energia elétrica para uso do escritório de apoio em Ji-Paraná, Sala 01",174.68
22,3,1,"Locomoção, hospedagem e alimentação",13,13,000006417,Despesa com aquisição de combustível para abastecimento de aeronave,2185.92
22,3,1,"Locomoção, hospedagem e alimentação",1822,22,000011424,Despesa com aquisição de combustível para abastecimento de aeronave,2639.8
22,3,1,"Locomoção, hospedagem e alimentação",1822,22,000011425,Despesa com aquisição de combustível para abastecimento de aeronave,4033.4
24,3,1,Divulgação,21,21,000000000001494/A,Divulgação da atividade parlamentar,1000.0
25,3,1,Aluguel,2152,13,671679249,Despesa com telefone para uso do escritório de apoio do senador Acir Gurgacz em Ji-Paraná,189.77
25,3,1,Passagens,22,22,EMI38R,"Companhia Aérea: AZUL, Localizador: EMI38R. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 01/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 01/03/2021;",1625.0
29,3,1,Passagens,22,22,ZEDN4C,"Companhia Aérea: AZUL, Localizador: ZEDN4C. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4727 - VCPCAC - 31/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4696 - BSBVCP - 31/03/2021;",1575.0
04,4,1,Aluguel,19,19,04/2021,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Porto Velho/RO.,1000.0
04,4,1,Aluguel,22,22,004/21,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
04,4,1,Divulgação,22,22,202100000000046,Despesa com divulgação da atividade parlamentar no website: informanahora.com,1500.0
04,4,1,Divulgação,23,23,54,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
04,4,1,Divulgação,20,20,173,Despesa com divulgação da atividade parlamentar,1000.0
04,4,1,Divulgação,21,21,57,Despesa com divulgação da atividade parlamentar,1000.0
04,4,1,Divulgação,17,17,270,Despesa com divulgação da atividade parlamentar,500.0
04,4,1,Passagens,22,22,JN93HE,"Companhia Aérea: AZUL, Localizador: JN93HE. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 06/04/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 06/04/2021;",1198.0
04,4,1,Passagens,22,22,TWHVHU,"Companhia Aérea: LATAM, Localizador: TWHVHU. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3346 - BSBCWB - 09/04/2021;",1595.0
04,4,1,Passagens,22,22,FWBVXB,"Companhia Aérea: AZUL, Localizador: FWBVXB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4548 - VCPBSB - 12/04/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4311 - CWBVCP - 12/04/2021;",1020.0
17,4,1,Passagens,22,22,JU6GJB,"Companhia Aérea: GOL, Localizador: JU6GJB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4975 - BSBPVH - 19/04/2021;",1935.0
20,4,1,Aluguel,1795,529,026.105.052,Despesa com pagamento de energia elétrica para o escritório de apoio em Ji-Paraná Sala 02,73.38
20,4,1,Aluguel,1795,529,026 105.249,Despesa com pagamento de energia elétrica para o escritório de apoio em Ji-Paraná Sala 01,196.7
25,4,1,Aluguel,2152,13,694151672,Despesa com telefonia para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,189.77
26,4,1,Divulgação,21,21,000000000001522/A,Divulgação da atividade parlamentar,1000.0
29,4,1,Divulgação,500,20,000000000004391/A,Divulgação da atividade parlamentar no site rondoniaovivo.com,1000.0
29,4,1,Divulgação,21,21,000000000000444/A,Divulgação da atividade parlamentar no jornal eletrônico www.tudorondonia.com,1000.0
29,4,1,"Locomoção, hospedagem e alimentação",16,1301,000007827,Despesa com aquisição de combustível para abastecimento de aeronave,8750.16
30,4,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.490,Despesa com aquisição de combustível para abastecimento de aeronave,3302.0
05,5,1,Aluguel,19,19,05/2021,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Porto Velho/RO.,1000.0
05,5,1,Aluguel,22,22,005/21,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
05,5,1,Contratações,23,23,57,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
05,5,1,Divulgação,22,22,202100000000063,Divulgação da atividade parlamentar no website: www.informanahora.com,1500.0
05,5,1,Divulgação,20,20,176,Divulgação da atividade parlamentar,1000.0
05,5,1,Divulgação,21,21,60,Divulgação da atividade parlamentar,1000.0
05,5,1,Divulgação,17,17,273,Divulgação da atividade parlamentar,500.0
05,5,1,"Locomoção, hospedagem e alimentação",659,17,000104159,Despesa com aquisição de combustível para abastecimento de aeronave,7858.7
05,5,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.504,Despesa com aquisição de combustível para abastecimento de aeronave,2911.0
05,5,1,Passagens,22,22,SNRKKW,"Companhia Aérea: GOL, Localizador: SNRKKW. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4965 - BSBCWB - 06/05/2021;",1250.0
05,5,1,Passagens,22,22,EAFNWF,"Companhia Aérea: LATAM, Localizador: EAFNWF. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4611 - GRUBSB - 10/05/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4794 - CWBGRU - 10/05/2021;",1585.0
13,5,1,Passagens,22,22,KQZYPA,"Companhia Aérea: GOL, Localizador: KQZYPA. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4975 - BSBPVH - 14/05/2021;",2395.0
17,5,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.512,Despesa com aquisição de combustível para abastecimento de aeronave,5461.0
19,5,1,Passagens,22,22,JJDJ7C,"Companhia Aérea: GOL, Localizador: JJDJ7C. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1414 - GRUBSB - 24/05/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1181 - CACGRU - 24/05/2021;",2339.0
24,5,1,Divulgação,21,21,000000000001552/A,Divulgação de atividade parlamentar,1000.0
24,5,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.523,Despesa com aquisição de combustível para abastecimento de aeronave,11999.0
27,5,1,Passagens,22,22,LMKTRZ,"Companhia Aérea: GOL, Localizador: LMKTRZ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1180 - GRUCAC - 28/05/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1475 - BSBGRU - 28/05/2021;",2835.0
28,5,1,Divulgação,500,20,000000000004438/A,Despesa com divulgação da atividade parlamentar,1000.0
06,6,1,Aluguel,19,19,06/2021,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Porto Velho/RO.,1000.0
06,6,1,Aluguel,22,22,006/21,Despesa com aluguel de imóvel para uso do escritório de apoio em Ji-Paraná/RO.,6000.0
06,6,1,Divulgação,22,22,202100000000074,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
06,6,1,Divulgação,23,23,59,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
06,6,1,Divulgação,20,20,183,Despesa com divulgação da atividade parlamentar,1000.0
06,6,1,Divulgação,21,21,63,Despesa com divulgação da atividade parlamentar,1000.0
06,6,1,Divulgação,17,17,276,Divulgação da atividade parlamentar,500.0
06,6,1,"Locomoção, hospedagem e alimentação",18,18,000006581,Despesa com aquisição de combustível para abastecimento de aeronave,5859.6
06,6,1,"Locomoção, hospedagem e alimentação",23,23,000000774,Despesa com aquisição de combustível para abastecimento de aeronave,1292.8
06,6,1,"Locomoção, hospedagem e alimentação",23,23,000000783,Despesa com aquisição de combustível para abastecimento de aeronave,2560.0
06,6,1,Passagens,22,22,EBLQRP,"Companhia Aérea: LATAM, Localizador: EBLQRP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4611 - GRUBSB - 06/06/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4794 - CWBGRU - 06/06/2021;",1785.0
06,6,1,Passagens,22,22,YLM35K,"Companhia Aérea: AZUL, Localizador: YLM35K. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4336 - CGBPVH - 10/06/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 10/06/2021;",2135.0
06,6,1,Passagens,22,22,QLM35K,"Companhia Aérea: AZUL, Localizador: QLM35K. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4896 - CGBBSB - 15/06/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4339 - PVHCGB - 15/06/2021;",1300.0
14,6,1,"Locomoção, hospedagem e alimentação",1822,22,000011554,Despesa com aquisição de combustível para abastecimento de aeronave,2286.0
14,6,1,Passagens,22,22,DNZ44B,"Companhia Aérea: AZUL, Localizador: DNZ44B. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4336 - CGBPVH - 18/06/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 18/06/2021;",2470.0
17,6,1,Divulgação,21,21,000000000000472/A,Despesa com divulgação da atividade parlamentar,1000.0
17,6,1,"Locomoção, hospedagem e alimentação",1822,22,000011562,Despesa com aquisição de combustível para abastecimento de aeronave,3750.0
18,6,1,"Locomoção, hospedagem e alimentação",23,23,000000796,Despesa com aquisição de combustível para abastecimento de aeronave,1280.0
18,6,1,Passagens,22,22,ENQS7D,"Companhia Aérea: GOL, Localizador: ENQS7D. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1835 - PVHBSB - 22/06/2021;",2200.0
21,6,1,"Locomoção, hospedagem e alimentação",1822,22,000011572,Despesa com aquisição de combustível para abastecimento de aeronave,5000.0
22,6,1,Passagens,22,22,QHSEYL,"Companhia Aérea: GOL, Localizador: QHSEYL. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1379 - BSBPVH - 24/06/2021;",2450.0
24,6,1,"Locomoção, hospedagem e alimentação",23,23,000000810,Despesa com aquisição de combustível para abastecimento de aeronave,2560.0
25,6,1,Divulgação,21,21,000000000001581/A,Despesa com divulgação de atividade parlamentar,1000.0
26,6,1,Passagens,22,22,RNMWHW,"Companhia Aérea: GOL, Localizador: RNMWHW. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1835 - PVHBSB - 04/07/2021;",1795.0
28,6,1,Divulgação,500,20,0000000000004504/A,Despesa com divulgação da atividade parlamentar,1000.0
07,7,1,Aluguel,19,19,07/2021,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Porto Velho/RO.,1000.0
07,7,1,Aluguel,22,22,007/21,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
07,7,1,Divulgação,22,22,000000000000168/A,Despesa com divulgação da atividade parlamentar no website: www.informanahora.com,1500.0
07,7,1,Divulgação,20,20,187,Despesa com divulgação da atividade parlamentar,1000.0
08,7,1,Divulgação,22,22,000000000000790/A,"Divulgação da atividade parlamentar no site o observador, em julho de 2021",1000.0
26,7,1,Passagens,22,22,QBUSIV,"Companhia Aérea: LATAM, Localizador: QBUSIV. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3343 - BSBPOA - 27/07/2021;",2350.0
29,7,1,Passagens,22,22,YD1QFI,"Companhia Aérea: AZUL, Localizador: YD1QFI. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2977 - VCPBSB - 02/08/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 02/08/2021;",1968.0
08,8,1,Aluguel,22,22,008/21,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
08,8,1,Divulgação,22,22,000000000000191/A,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
08,8,1,Divulgação,23,23,67,Despesa com produção de texto e edição de vídeo para divulgação de atividade parlamentar,6000.0
08,8,1,Divulgação,20,20,194,Despesa com divulgação da atividade parlamentar,1000.0
08,8,1,Divulgação,21,21,71,Despesa com divulgação da atividade parlamentar,1000.0
08,8,1,"Locomoção, hospedagem e alimentação",1822,22,000011657,Despesa com aquisição de combustível para abastecimento de aeronave,6350.0
08,8,1,Passagens,22,22,RUDKTE,"Companhia Aérea: GOL, Localizador: RUDKTE. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1894 - BSBPVH - 13/08/2021;",1835.0
08,8,1,Passagens,22,22,DTYFBY,"Companhia Aérea: LATAM, Localizador: DTYFBY. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3633 - PVHBSB - 17/08/2021;",2131.42
16,8,1,Passagens,22,22,OS3WYK,"Companhia Aérea: GOL, Localizador: OS3WYK. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1894 - BSBPVH - 20/08/2021;",1190.0
18,8,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.707,Despesa com aquisição de combustível para abastecimento de aeronave,5080.0
19,8,1,Passagens,22,22,VI3GXJ,"Companhia Aérea: AZUL, Localizador: VI3GXJ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2940 - CGBBSB - 23/08/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4681 - JPRCGB - 23/08/2021;",3325.0
23,8,1,Passagens,22,22,NHZFHJ,"Companhia Aérea: AZUL, Localizador: NHZFHJ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4680 - CGBJPR - 03/09/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 03/09/2021;",1571.0
25,8,1,Divulgação,21,21,000000000001636/A,Divulgação da atividade parlamentar,1000.0
25,8,1,Divulgação,21,21,000000000000502/A,Divulgação da atividade parlamentar no jornal eletrônico www.tudorondonia.com,1000.0
28,8,1,Divulgação,22,22,000000000000793/A,Divulgação da atividade parlamentar no site o observador,1000.0
09,9,1,Aluguel,22,22,009/21,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná,6000.0
09,9,1,Divulgação,500,20,000000000004665/A,Divulgação da atividade parlamentar no site rondoniaovivo.com,1000.0
09,9,1,Divulgação,22,22,000000000000216/A,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
09,9,1,Divulgação,20,20,200,Divulgação da atividade parlamentar,1000.0
09,9,1,Divulgação,21,21,76,Divulgação da atividade parlamentar,1000.0
09,9,1,Passagens,22,22,KDVDQS,"Companhia Aérea: LATAM, Localizador: KDVDQS. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3119 - PVHBSB - 13/09/2021;",1450.0
09,9,1,Passagens,22,22,NL27VN,"Companhia Aérea: AZUL, Localizador: NL27VN. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 20/09/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 20/09/2021;",1380.0
13,9,1,"Locomoção, hospedagem e alimentação",1822,22,000011783,Despesa com aquisição de combustível para abastecimento de aeronave,5080.0
14,9,1,Divulgação,23,23,70,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
15,9,1,Passagens,22,22,SUPCPR,"Companhia Aérea: GOL, Localizador: SUPCPR. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1172 - GRUIGU - 16/09/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1415 - BSBGRU - 16/09/2021;",1365.0
21,9,1,Passagens,22,22,UNQZFY,"Companhia Aérea: GOL, Localizador: UNQZFY. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1124 - GRUCWB - 23/09/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1415 - BSBGRU - 23/09/2021;",1563.33
21,9,1,Passagens,22,22,KGQTPB,"Companhia Aérea: LATAM, Localizador: KGQTPB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3326 - CWBBSB - 27/09/2021;",1671.65
24,9,1,Divulgação,21,21,000000000001662/A,Despesa com divulgação da atividade parlamentar,1000.0
27,9,1,Divulgação,21,21,000000000000514/A,Despesa com divulgação da atividade parlamentar no jornal eletrônico www.tudorondonia.com,1000.0
30,9,1,Divulgação,22,22,000000000000797/A,Despesa com divulgação da atividade parlamentar no site o observador,1000.0
10,10,1,Aluguel,22,22,010/21,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
10,10,1,Divulgação,500,20,04739/A,Despesa com divulgação da atividade parlamentar no site rondoniaovivo.com,1000.0
10,10,1,Divulgação,22,22,0236/A,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
10,10,1,Divulgação,23,23,76,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
10,10,1,Divulgação,20,20,206,Divulgação da atividade parlamentar,1000.0
10,10,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.864,Despesa com combustível para abastecimento de aeronave,5080.0
10,10,1,Passagens,22,22,SYFCGY,"Companhia Aérea: LATAM, Localizador: SYFCGY. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3117 - BSBPVH - 10/10/2021;",1395.0
13,10,1,Passagens,22,22,KMXBUQ,"Companhia Aérea: LATAM, Localizador: KMXBUQ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3119 - PVHBSB - 18/10/2021;",2295.0
13,10,1,Passagens,22,22,VYWGWR,"Companhia Aérea: AZUL, Localizador: VYWGWR. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4680 - CGBJPR - 22/10/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 22/10/2021;",2435.0
19,10,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.884,Despesa com aquisição de combustível para abastecimento de aeronave,5080.0
22,10,1,Passagens,22,22,SIHDFG,"Companhia Aérea: AZUL, Localizador: SIHDFG. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2940 - CGBBSB - 25/10/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4681 - JPRCGB - 25/10/2021;",2560.0
25,10,1,Divulgação,21,21,000000000001691/A,Despesa com divulgação da atividade parlamentar,1000.0
25,10,1,Divulgação,21,21,000000000000528/A,Despesa com divulgação da atividade parlamentar no jornal eletrônico www.tudorondonia.com,1000.0
25,10,1,Passagens,22,22,QJVH8A,"Companhia Aérea: AZUL, Localizador: QJVH8A. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4680 - CGBJPR - 29/10/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 29/10/2021;",2550.0
29,10,1,Divulgação,22,22,000000000000803/A,Despesa com divulgação da atividade parlamentar no site o observador,1000.0
29,10,1,Passagens,22,22,MOMSHT,"Companhia Aérea: LATAM, Localizador: MOMSHT. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3379 - PVHBSB - 03/11/2021;",2230.0
11,11,1,Aluguel,22,22,011/21,Despesa com pagamento de aluguel de imóvel para uso do escritório político do Senador Acir Gurgacz,6000.0
11,11,1,Divulgação,22,22,000000000000260/A,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
11,11,1,Divulgação,23,23,3,Despesa com divulgação da atividade parlamentar,1000.0
11,11,1,Divulgação,23,23,84,Despesa com produção de texto e edição de vídeos para divulgação da atividade parlamentar,6000.0
11,11,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.927,Despesa com aquisição de combustível para abastecimento de aeronave,5440.0
19,11,1,Divulgação,21,21,92,Despesa com divulgação da atividade parlamentar,500.0
24,11,1,Divulgação,500,20,4823/A,Despesa com divulgação da atividade parlamentar no site rondoniaovivo.com,1000.0
